Company,Model,MSN,YoM,Reg,Comments
Boeing 777,777-2H6ER,28408,1997,9M-MRA,"Stored, last operated by Malaysia Airlines"
Boeing 777,777-346,28395,1999,JA8943,"Stored, last operated by Japan Airlines"
Boeing 777,777-21H,27249,1996,A6-EMF,"Stored, last operated by Emirates"
Boeing 757,757-222,25019,1991,N529UA,"Stored, last operated by United Airlines, marketed online by AirTrust Capital ,since 03MAY16, as available for Sale"
Boeing 757,757-222,25018,1991,N528UA,"Stored, last operated by United Airlines"
Boeing 757,757-222,24994,1991,N526UA,"Stored, last operated by United Airlines, marketed online by AirTrust Capital ,since 03MAY16, as available for Sale"
Boeing 757,757-222,24931,1990,N522UA,"Stored, last operated by United Airlines"
Boeing 757,757-222,24860,1990,N561UA,"Stored, last operated by United Airlines"
Boeing 757,757-222,24839,1990,N514UA,"Stored, last operated by United Airlines"
Boeing 757,757-223,24617,1991,N659AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,24616,1991,N658AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,24615,1991,N657AM,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53247,1991,N584AA,"Stored, last operated by American Airlines, registered under trustee on 07APR15"
Boeing DC9/MD80/MD90,MD-82,53160,1991,N583AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53159,1991,N582AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53158,1991,N581AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53153,1991,N576AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53152,1991,N575AM,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-83,53151,1991,N574AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-83,53125,1993,N125MN,"Stored, last operated by Falcon Air Express, registered under Ascent Aviation Services on 12JUN15"
Boeing DC9/MD80/MD90,MD-82,53092,1991,N573AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53091,1991,N561AA,"Stored, last operated by American Airlines"
Boeing 767,767-216ER,24973,1990,EI-CXZ,"Stored, last operated by Transaero"
Boeing 767,767-3Y0ER,24947,1991,N328JJ,"Stored, last operated by Aeromexico, marketed online by Jetran LLC ,since 22APR16, as available for Lease or Sale"
Boeing 767,767-383ER,24848,1990,N24848,"Stored, last operated by Business Air, marketed online by Global Knafaim Leasing ,since 21APR16, as available for Sale"
Boeing 767,767-383ER,24846,1990,HS-AAB,"Flying with Asia Atlantic Airlines, marketed online by Automatic LLC ,since 19APR16, as available for Lease or Sale in NOV16"
Boeing 767,767-3Q8ER,24746,1991,EI-DBG,"Stored, last operated by Transaero"
Boeing 767,767-3Q8ER,24745,1991,N275AG,"Stored, last operated by Transaero, N-reg on 08MAR16"
Boeing 767,767-283ER,24728,1990,N728CG,"Stored, last operated by Aeromexico, registered under trustee on 28OCT15"
Boeing 767,767-300,24484,1989,5Y-KYX,"Stored, last operated by Kenya Airways"
Boeing 767,767-233,24145,1988,N770JM,"Stored, last operated by Dynamic Airways"
Boeing 767,767-300,24045,1988,N39364,"Stored, last operated by American Airlines"
Boeing 767,767-300,24044,1988,N363AA,"Stored, last operated by American Airlines"
Boeing 747,747-400BCF,25205,1991,N784BA,"Stored, last operated by Korean Air, marketed by Boeing as available for Operating lease or Sale"
Boeing 747,747-400BCF,25068,1991,N785BA,"Stored, last operated by Cathay Pacific, marketed by Boeing as available for Operating lease or Sale"
Boeing 747,747-400BCF,24621,1990,N925BA,"Stored, last operated by Korean Air, marketed by Boeing as available for Operating lease or Sale"
Boeing 747,747-4B5F,24619,1990,N578BC,"Stored, last operated by Cargolux"
Boeing 747,747-400BCF,24458,1990,HS-TGH,"Stored, last operated by Thai Airways"
Boeing 747,747-4B5BCF,24200,1989,N547BC,"Stored, last operated by Cargolux, registered under Boeing on 04FEB16"
Boeing 747,747-400F,TBA,TBA,TBA,SIA Cargo stated that two leased 747-400Fs will be returned to their lessors by MAR17
Boeing DC10/MD11,MD-11F,48780,1998,N545BC,"Stored, last operated by Ethiopian Airlines, marketed by Boeing as available for Sale"
Boeing DC10/MD11,MD-11F,48766,1996,N460BC,Marketed by Boeing as available for Operating lease
Boeing DC10/MD11,MD-11F,48758,1997,N546BC,"Stored, last operated by Ethiopian Airlines, marketed by Boeing as available for Sale"
Boeing DC10/MD11,MD-11F,48504,1993,N383BC,"Stored, last operated by Aeroflot, marketed by Boeing as available for Sale"
Boeing DC10/MD11,MD-11F,48503,1992,N382BC,"Stored, last operated by Aeroflot, marketed by Boeing as available for Sale"
Boeing DC10/MD11,MD-11F,48502,1992,N380BC,"Stored, last operated by Aeroflot, marketed by Boeing as available for Sale"
BAE Systems,RJ100,3384,2001,HB-IYQ,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3382,2001,HB-IYR,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3381,2001,HB-IYS,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3380,2001,HB-IYT,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3379,2000,HB-IYU,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3377,2000,HB-IYV,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3361,1999,OO-DWL,"Flying with Brussels Airlines, entire RJ fleet will be retired between APR16-DEC17"
BAE Systems,RJ100,3360,1999,OO-DWK,"Flying with Brussels Airlines, entire RJ fleet will be retired between APR16-DEC17"
Boeing 737,737-81Q,29049,1999,EI-RUJ,"Stored, last operated by Transaero"
Boeing 737,737-446,28994,1998,JA8998,"Flying with Japan Transocean Air, -400s will be replaced by -800s by the end of 2017"
Boeing 737,737-300,28973,1997,B-2983,"Stored, last operated by China Eastern Airlines"
Boeing 737,737-500,28924,1998,VP-BYN,"Stored, last operated by Transaero"
Boeing 737,737-524,28919,1998,VP-BYQ,"Stored, last operated by Transaero"
Boeing 737,737-524,28915,1998,EI-UNG,"Stored, last operated by Transaero"
Boeing 737,737-49R,28882,1997,OM-GTB,"Flying with CSA, wet lease contract from Go2Sky until?"
Boeing 737,737-446,28832,1997,JA8996,"Flying with Japan Transocean Air, -400s will be replaced by -800s by the end of 2017"
Boeing 737,737-446,28831,1997,JA8995,"Flying with Japan Transocean Air, -400s will be replaced by -800s by the end of 2017"
Boeing 737,737-3U3,28742,1998,XA-VAD,"Stored (transfer?), last operated by Viva Aerobus"
Boeing 737,737-3L9,28734,1995,OY-JTE,"Flying with Jettime, airline announced intention to replace 737-300 fleet by the end of 2017"
Boeing 777,777-222,26925,1995,EI-UNZ,"Stored, last operated by Transaero"
Boeing 777,777-222,26918,1995,EI-UNY,"Stored, last operated by Transaero"
Boeing 757,757-223,24614,1991,N656AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,24613,1991,N655AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,24611,1991,N653A,"Stored, last operated by American Airlines"
Boeing 757,757-223,24610,1991,N652AA,"Stored, last operated by American Airlines"
Boeing 757,757-200,24607,1991,N649AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,24605,1991,N647AM,"Stored, last operated by American Airlines"
Boeing 757,757-223,24604,1991,N646AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,24603,1991,N645AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,24598,1991,N640A,"Stored, last operated by American Airlines"
Boeing 757,757-223,24597,1991,N639AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53089,1991,N559AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53086,1991,N556AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53083,1991,N553AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53027,1990,N16545,"Stored, last operated by American Airlines, registered under Aerothrust Holdings Leasing on 23JUN15"
Boeing DC9/MD80/MD90,MD-82,53025,1990,N7543A,"Stored, last operated by American Airlines, registered under Aerothrust Holdings Leasing on 14JUL15"
Boeing DC9/MD80/MD90,MD-82,49916,1990,N70524,"Stored, last operated by Delta Air Lines"
Boeing DC9/MD80/MD90,MD-82,49803,1989,N7509,"Stored, last operated by Delta Air Lines"
Boeing DC9/MD80/MD90,MD-82,49801,1989,N3507A,"Stored, last operated by Delta Air Lines"
Boeing DC9/MD80/MD90,MD-82,49800,1989,N7506,"Stored, last operated by Delta Air Lines"
Boeing DC9/MD80/MD90,MD-82,49799,1989,N505AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,49797,1989,N44503,"Stored, last operated by American Airlines"
Boeing 767,767-300ER,24041,1988,N360AA,"Stored, last operated by American Airlines"
Boeing 767,767-300ER,24040,1988,N359AA,"Stored, last operated by American Airlines"
Boeing 767,767-300,24039,1988,N358AA,"Stored, last operated by American Airlines"
Boeing 767,767-35D,24038,1988,N357AA,"Stored, last operated by American Airlines"
Boeing 767,767-323ER,24033,1988,N352AA,"Stored, last operated by American Airlines"
Boeing 767,767-201ER,23899,1987,EI-DBW,"Stored, last operated by Transaero"
Boeing 767,767-300ER,TBA,TBA,TBA,"Flying with American Airlines, 14 aircraft will be retired in 2016"
Bombardier,CRJ-900LR,15215,2009,S5-AAO,"Flying with Adria Airways, marketed online by GOAL Leasing ,since 20NOV15, as available for Lease or Sale in Q1 2016"
Bombardier,CRJ-900LR,15207,2008,S5-AAN,"Flying with Adria Airways, marketed online by GOAL Leasing ,since 30MAR16, as available for Sale or Lease"
Bombardier,CRJ-900LR,15117,2006,EC-JZV,"Flying with Air Nostrum, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-900LR,15115,2006,EC-JZU,"Flying with Air Nostrum, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-900LR,15113,2006,EC-JZT,"Flying with Air Nostrum, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-900LR,15111,2006,EC-JZS,"Flying with Air Nostrum, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-900LR,15106,2006,EC-JYV,"Flying with Air Nostrum, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-900LR,15090,2006,EC-JYA,"Flying with Air Nostrum, marketed by Bombardier (AMG) as available for Sale"
BAE Systems,RJ100,3359,1999,HB-IYW,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3355,1999,OO-DWJ,"Flying with Brussels Airlines, entire RJ fleet will be retired between APR16-DEC17"
BAE Systems,RJ100,3342,1999,OO-DWI,"Flying with Brussels Airlines, entire RJ fleet will be retired between APR16-DEC17"
BAE Systems,RJ100,3340,1999,OO-DWH,"Flying with Brussels Airlines, entire RJ fleet will be retired between APR16-DEC17"
BAE Systems,RJ100,3339,1998,HB-IYY,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3338,1998,HB-IYZ,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3336,1999,OO-DWG,"Flying with Brussels Airlines, entire RJ fleet will be retired between APR16-DEC17"
BAE Systems,RJ100,3332,1999,OO-DWF,"Stored, last operated by Brussels Airlines"
BAE Systems,RJ100,3327,1999,OO-DWE,"Flying with Brussels Airlines, entire RJ fleet will be retired between APR16-DEC17"
BAE Systems,RJ100,3324,1999,OO-DWD,"Flying with Brussels Airlines, entire RJ fleet will be retired between APR16-DEC17"
Boeing 737,737-500,28722,1997,UR-GBC,"Flying with Ukraine International Airlines, 737CLs will be retired by the end of 2018"
Boeing 737,737-4D7,28701,1997,N287AR,"Stored (under conversion), last operated by Thai Airways, registered under trusteee on 27AUG15"
Boeing 737,737-300,28671,1997,N871TM,"Stored by GECAS, last operated by Norwegian, registered under trustee on 08JAN16"
Boeing 737,737-300,28670,1997,UR-GBA,"Flying with Ukraine International Airlines, 737CLs will be retired by the end of 2018"
Boeing 737,737-300,28659,1997,UR-GBD,"Flying with Ukraine International Airlines, 737CLs will be retired by the end of 2018"
Boeing 737,737-86N,28643,2001,N881TM,"Stored, last operated by Shenzhen Airlines, registered under trustee on 04DEC15"
Boeing 737,737-86N,28639,2001,N879TM,"Stored, last operated by Shenzhen Airlines, registered under trustee on 04DEC15"
Boeing 737,737-86N,28621,2000,EI-RUK,"Stored, last operated by Transaero"
Boeing 737,737-800,28610,1999,EI-RUG,"Stored, last operated by Transaero"
Boeing 737,737-700,28607,1999,HP-1372CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 757,757-223,24593,1990,N635AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,24592,1990,N634AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,24591,1990,N633AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,24589,1990,N631AA,"Stored, last operated by American Airlines"
Boeing 757,757-2G7,24522,1989,N909AW,"Stored, last operated by American Airlines"
Boeing 757,757-232,24422,1990,N660DL,"Stgored, last operated by Delta Air Lines"
Boeing 757,757-232,24420,1990,N658DL,"Stored, last operated by Delta Airlines"
Boeing 757,757-232,24395,1990,N655DL,"Stored, last operated by Delta airlines"
Boeing 757,757-232,24394,1990,N654DL,"Stored, last operated by Delta Air Lines"
Boeing 757,757-251,24263,1988,N532US,"Stored, last operated by Delta Air Lines"
Boeing DC9/MD80/MD90,MD-83,49734,1989,N496AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,49730,1989,N492AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,49683,1989,N490AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,49649,1988,N474,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,49598,1988,N468AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-87,49403,1987,OY-JRU,"Flying with DAT, marketed by DAT as available for Sale"
Boeing DC9/MD80/MD90,MD-82,49310,1985,N298AA,"Stored, last operated by Delta Air Lines"
Bombardier,CRJ-900LR,15087,2006,EC-JXZ,"Flying with Air Nostrum, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-900LR,15079,2006,EC-JTU,"Flying with Air Nostrum, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-900LR,15074,2006,EC-JTT,"Flying with Air Nostrum, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-900LR,15071,2006,EC-JTS,"Flying with Air Nostrum, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-900LR,15057,2005,EC-JNB,"Flying with Air Nostrum, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-702,10217,2005,VT-RJB,"Flying with Air India Regional, CRJ fleet will be retired between APR16-MAR17"
Bombardier,CRJ-702,10048,2002,VT-RJD,"Flying with Air India Regional, CRJ fleet will be retired between APR16-MAR17"
Bombardier,CRJ-200ER,7704,2002,B-7700,"Stored, last operated by China Express Airlines"
Bombardier,CRJ-200ER,7690,2002,B-3565,"Stored, last operated by China Express Airlines"
Bombardier,CRJ-200ER,7614,2002,B-3016,"Stored, last operated by China Express Airlines"
BAE Systems,RJ100,3322,1999,OO-DWC,"Flying with Brussels Airlines, entire RJ fleet will be retired between APR16-DEC17"
BAE Systems,RJ100,3315,1999,OO-DWB,"Flying with Brussels Airlines, entire RJ fleet will be retired between APR16-DEC17"
BAE Systems,RJ100,3308,1999,OO-DWA,"Flying with Brussels Airlines, entire RJ fleet will be retired between APR16-DEC17"
BAE Systems,RJ100,3284,1996,HB-IXO,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3283,1996,HB-IXP,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3282,1996,HB-IXQ,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3280,1996,HB-IXS,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3276,1995,HB-IXU,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3274,1995,HB-IXV,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
BAE Systems,RJ100,3259,1995,HB-IXT,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
Boeing 737,737-86N,28575,1998,PR-GIW,"Stored, last operated by GOL Transportes Aereos"
Boeing 737,737-36N,28566,1997,N583CB,"Stored, last operated by Viva Aerobus, registered under trustee on 19FEB16"
Boeing 737,737-800,28387,2000,EI-RUI,"Stored, last operated by Transaero"
Boeing 737,737-85P,28383,1999,N328AT,"Stored, last operated by Jeju Air"
Boeing 737,737-8K5,28228,2000,EI-RUH,"Stored, last operated by Transaero"
Boeing 737,737-8Q8,28213,1998,OM-FEX,"Flying with Palau Pacific Airways, wet lease contract from Air Explore until?"
Boeing 737,737-75B,28110,1997,D-AGEL,"Flying with Germania, 737 fleet will be replaced with A320 family aircraft until 2020 (per airlines' statement)"
Boeing 737,737-75B,28109,1998,D-AGET,"Flying with Germania, 737 fleet will be replaced with A320 family aircraft until 2020 (per airlines' statement)"
Boeing 737,737-75B,28108,1998,D-AGES,"Flying with Germania, 737 fleet will be replaced with A320 family aircraft until 2020 (per airlines' statement)"
Boeing 737,737-75B,28107,1998,D-AGER,"Flying with Germania, 737 fleet will be replaced with A320 family aircraft until 2020 (per airlines' statement)"
Boeing 737,737-75B,28104,1998,D-AGEU,"Flying with Germania, 737 fleet will be replaced with A320 family aircraft until 2020 (per airlines' statement)"
Boeing 757,757-2T7,24104,1988,G-MONJ,"Stored, last operated by Monarch Airlines"
Boeing 757,757-251,23845,1988,N530US,"Stored, last operated by Delta Air Lines"
Boeing 757,757-251,23617,1987,N523US,"Stored, last operated by Delta Air Lines"
Boeing 757,757-251,23616,1986,N522US,"Stored, last operated by Delta Air Lines"
Boeing 757,757-2S7,23568,1986,N906AW,"Stored, last operated by American Airlines"
Boeing 757,757-2S7,23567,1986,N905AW,"Stored, last operated by American Airlines"
Boeing 757,757-2S7,23566,1986,N904AW,"Stored, last operated by American Airlines"
Embraer,ERJ-190AR,19000461,2011,N176HQ,"Stored, last operated by Republic Airlines"
Embraer,ERJ-190AR,19000373,2007,HC-CGF,"Flying with TAME, ERJ-190 fleet will be retired"
Embraer,ERJ-190AR,19000372,2007,HC-CGG,"Flying with TAME, ERJ-190 fleet will be retired"
Embraer,ERJ-190AR,19000141,2010,HC-COX,"Flying with TAME, ERJ-190 fleet will be retired"
Embraer,ERJ-190AR,19000137,2010,HC-COY,"Flying with TAME, ERJ-190 fleet will be retired"
Embraer,ERJ-190,19000167,2008,M-ABJB,"Stored, last operated by Mandarin Airlines"
Embraer,ERJ-175,17000354,2012,A4O-ED,"Flying with Oman Air, aircraft type is being retired from fleet"
SAAB,SAAB 2000,063,1999,SE-LTV,"Flying with Braathens Regional, fleet replacement started end of 2015 with new ATR deliveries"
SAAB,SAAB 2000,062,1999,SE-LTU,"Flying with Braathens Regional, fleet replacement started end of 2015 with new ATR deliveries"
SAAB,SAAB 2000,056,1998,SE-LXK,"Flying with Braathens Regional, fleet replacement started end of 2015 with new ATR deliveries"
SAAB,SAAB 2000,043,1997,SE-LSB,"Flying with Braathens Regional, fleet replacement started end of 2015 with new ATR deliveries"
SAAB,SAAB 2000,038,1996,SE-MFF,"Flying with Braathens Regional, fleet replacement started end of 2015 with new ATR deliveries"
SAAB,SAAB 2000,035,1996,SE-LOM,"Flying with Braathens Regional, fleet replacement started end of 2015 with new ATR deliveries"
SAAB,SAAB 2000,024,1995,SE-LTX,"Flying with Braathens Regional, fleet replacement started end of 2015 with new ATR deliveries"
SAAB,SAAB 2000,022,1995,SE-MFM,"Flying with Braathens Regional, fleet replacement started end of 2015 with new ATR deliveries"
Bombardier,CRJ-200ER,7565,2001,B-3001,"Stored, last operated by China Express Airlines"
Bombardier,CRJ-200ER,7557,2001,B-3012,"Stored, last operated by China Express Airlines"
Bombardier,CRJ-200ER,7466,2000,EC-MJX,"Stored (Air Nostrum), last operated by SOL Lineas Aereas, went into bankruptcy JAN16"
Bombardier,CRJ-200LR,7394,2000,VQ-BGX,"Stored, last operated by UTair Aviation, CRJ-200 fleet will be returned to Bombardier"
Bombardier,CRJ-200LR,7378,2000,VQ-BGV,"Stored, last operated by UTair Aviation, CRJ-200 fleet will be returned to Bombardier"
Bombardier,CRJ-200ER,7369,2000,N852AS,"Flying with ExpressJet Airlines, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-200ER,7347,1999,N849AS,"Flying with ExpressJet Airlines, marketed by Bombardier (AMG) as available for Sale"
Bombardier,CRJ-200LR,7331,1999,N77331,"Stored, last operated by Mesa Airlines"
BAE Systems,RJ70,1230,1996,VT-MDM,"Stored, last operated by MDLR Airlines, marketed online as available for Sale"
BAE Systems,146-200QT,2067,1987,N146QT,"Stored, last operated by TNT Airways, marketed online as available for Sale"
BAE Systems,Jetstream 32,903,1990,9J-PCT,"Flying with Proflight Air Services, company stated that Jetstream 32 fleet will be retired by the end of 2016"
BAE Systems,Jetstream 32,824,1988,9J-PCS,"Flying with Proflight Air Services, company stated that Jetstream 32 fleet will be retired by the end of 2016"
BAE Systems,Jetstream 32,800,1988,9J-PCU,"Flying with Proflight Air Services, company stated that Jetstream 32 fleet will be retired by the end of 2016"
BAE Systems,Jetstream 32,691,1986,9J-PCV,"Flying with Proflight Air Services, company stated that Jetstream 32 fleet will be retired by the end of 2016"
Boeing 737,737-75B,28103,1998,D-AGEQ,"Flying with Germania, 737 fleet will be replaced with A320 family aircraft until 2020 (per airlines' statement)"
Boeing 737,737-75B,28102,1998,D-AGEP,"Flying with Germania, 737 fleet will be replaced with A320 family aircraft until 2020 (per airlines' statement)"
Boeing 737,737-75B,28100,1998,D-AGEN,"Flying with Germania, 737 fleet will be replaced with A320 family aircraft until 2020 (per airlines' statement)"
Boeing 737,737-446,28097,1997,JA8994,"Flying with Japan Transocean Air, -400s will be replaced by -800s by the end of 2017"
Boeing 737,737-446,28087,1996,JA8993,"Flying with Japan Transocean Air, -400s will be replaced by -800s by the end of 2017"
Boeing 737,737-5L9,28084,1996,F-HCOA,"Stored, last operated by Air Mediterranee, marketed as available for Sale"
Boeing 737,737-7L9,28012,2002,N882CS,"Stored, last operated by GOL Transportes Aereos, registered under trustee on 02MAY16"
Boeing 737,737-7L9,28011,2002,N881CS,"Stored, last operated by GOL Transportes Aereos, registered under trustee on 02MAY16"
Boeing 737,737-8K5,27989,1998,N798CS,"Stored, last operated by Transaero, marketed online by Aero Capital Solutions ,since 27APR16, as available for Sale or Lease"
Boeing 737,737-8K5,27980,1998,N980CS,"Stored, last operated by Transaero, marketed online by Aero Capital Solutions ,since 27APR16, as available for Sale or Lease"
Embraer,ERJ-175,17000349,2012,A4O-EC,"Flying with Oman Air, aircraft type is being retired from fleet"
Embraer,ERJ-175,17000324,2011,A4O-EB,"Flying with Oman Air, aircraft type is being retired from fleet"
Embraer,ERJ-175,17000323,2011,A4O-EA,"Flying with Oman Air, aircraft type is being retired from fleet"
Embraer,ERJ-170LR,17000293,2009,VT-LNR,"Stored, last operated by Air Costa"
Embraer,ERJ-170LR,17000278,2009,VT-LSR,"Flying with Air Costa, will be returend to lessor by MAR16"
Embraer,ERJ-170,17000127,2006,OH-LEK,"Stored, last operated by Finnair"
Embraer,ERJ-170,17000120,2006,OH-LEI,"Stored, last operated by Finnair"
Embraer,ERJ-170LR,17000059,2004,N170EH,"Marketed online by Magellan Group ,since 11JAN16, as available for Lease or Sale"
Embraer,ERJ-140LR,145624,2001,N382SK,"Stored, last operated by Chautauqua Airlines"
Embraer,ERJ-140LR,145619,2001,N381SK,"Stored, last operated by Chautauqua Airlines"
SAAB,SAAB 2000,012,1995,SE-KXK,"Flying with Braathens Regional, fleet replacement started end of 2015 with new ATR deliveries"
SAAB,SAAB 2000,007,1993,SE-LXH,"Flying with Braathens Regional, fleet replacement started end of 2015 with new ATR deliveries"
SAAB,SAAB 2000,005,1993,SE-MFK,"Flying with Braathens Regional, fleet replacement started end of 2015 with new ATR deliveries"
SAAB,SAAB 340B,459,1999,JA002C,"Flying with Japan Air Commuter, SAAB 340 fleet will be replaced by new ATR 42-600s that will start being delivered in 2017"
SAAB,SAAB 340B,419,1997,JA001C,"Flying with Japan Air Commuter, SAAB 340 fleet will be replaced by new ATR 42-600s that will start being delivered in 2017"
SAAB,SAAB 340B,399,1996,JA8594,"Flying with Japan Air Commuter, SAAB 340 fleet will be replaced by new ATR 42-600s that will start being delivered in 2017"
SAAB,SAAB 340B,378,1995,JA8900,"Flying with Japan Air Commuter, SAAB 340 fleet will be replaced by new ATR 42-600s that will start being delivered in 2017"
SAAB,SAAB 340B,368,1995,JA8649,"Flying with Japan Air Commuter, SAAB 340 fleet will be replaced by new ATR 42-600s that will start being delivered in 2017"
SAAB,SAAB 340B,365,1994,JA8642,"Flying with Japan Air Commuter, SAAB 340 fleet will be replaced by new ATR 42-600s that will start being delivered in 2017"
SAAB,SAAB 340B,361,1994,JA8704,"Flying with Japan Air Commuter, SAAB 340 fleet will be replaced by new ATR 42-600s that will start being delivered in 2017"
Bombardier,CRJ-200LR,7298,1999,VQ-BGU,"Stored, last operated by UTair Aviation, CRJ-200 fleet will be returned to Bombardier"
Bombardier,CRJ-200LR,7266,1998,VQ-BGT,"Stored, last operated by UTair Aviation, CRJ-200 fleet will be returned to Bombardier"
Bombardier,CRJ-200LR,7220,1998,C-FOEO,"Stored (Bombardier), last operated by UTair Aviation"
Bombardier,CRJ-200LR,7200,1997,VQ-BGQ,"Stored, last operated by UTair Aviation, CRJ-200 fleet will be returned to Bombardier"
Bombardier,CRJ-200LR,7172,1997,N266AV,"Stored, last operated by Costa Airlines"
Bombardier,CRJ-200LR,7165,1997,VQ-BGP,"Stored, last operated by UTair Aviation, CRJ-200 fleet will be returned to Bombardier"
Bombardier,CRJ-200LR,7135,1996,VQ-BGO,"Stored, last operated by UTair Aviation, CRJ-200 fleet will be returned to Bombardier"
Bombardier,CRJ-200LR,7130,1996,VQ-BGM,"Stored, last operated by UTair Aviation, CRJ-200 fleet will be returned to Bombardier"
Bombardier,CRJ-100LR,7104,1996,OY-RJG,"Stored, last operated by Cimber"
Bombardier,CRJ-100LR,7093,1995,OY-RJI,"Stored, last operated by Cimber"
Bombardier,CRJ-100LR,7090,1995,OY-RJH,"Stored, last operated by Cimber"
Fokker,Fokker 100,11367,1991,OE-LVN,"Marketed online by Alliance Airlines ,since 09DEC15, as available for Sale"
Fokker,Fokker 100,11342,1991,CS-TPE,"Flying with Portugalia, fleet will be retired by the end of 2016"
Fokker,Fokker 100,11317,1991,CS-TPD,"Flying with Portugalia, fleet will be retired by the end of 2016"
Fokker,Fokker 100,11287,1990,CS-TPC,"Flying with Portugalia, fleet will be retired by the end of 2016"
Fokker,Fokker 100,11262,1990,CS-TPB,"Flying with Portugalia, fleet will be retired by the end of 2016"
Fokker,Fokker 100,11258,1989,CS-TPF,"Flying with Portugalia, fleet will be retired by the end of 2016"
Fokker,Fokker 100,11257,1988,CS-TPA,"Flying with Portugalia, fleet will be retired by the end of 2016"
Fokker,Fokker 50,20335,1997,PK-PCR,"Stored, marketed online by Pacific Royale Airways ,since 23JUN15,as available for Sale"
