Category,Company,Contact_webPage,Contact_email,Contact_phone,Model,YoM,MSN,TFHs_TFCs,Engines,F_B_E,OL_A_S,LU,AD,ESN,L_E_S
Engines and APUs,IAE,"Fortress Investment Group, http://www.myairlease.com/available/fortess_investment_group","Mr. T. McFarland, mailto:tmcfarland@fortress.com?Subject=Query%20for%20ESN%20V10125%20listed%20in%20myairlease.com",+1 305 520 2349,V2527E-A5,,,,,,,1604,IMM,V10125,L/E/S
Engines and APUs,Honeywell,"MNG Airlines, http://www.myairlease.com/available/mng_airlines","Mr. C. Erturk, mailto:cenk.erturk@mngairlines.com?Subject=Query%20for%20ESN%20P-80223%20listed%20in%20myairlease.com",+90 212 4658950/1714,TSCP700-5,,,,,,,1604,IMM,P-80223,L/S
Engines and APUs,Honeywell,"Next Level Aviation, http://www.myairlease.com/available/next_level_aviation","Mr. J. Wright, mailto:Jacob@nextlevelaviation.net?Subject=Query%20for%20ESN%20P-3970%20listed%20in%20myairlease.com",+1 954 613 6303,GTCP131-9A,,,,,,,1601,IMM,P-3970,L/E/S
Engines and APUs,Honeywell,"Next Level Aviation, http://www.myairlease.com/available/next_level_aviation","Mr. J. Wright, mailto:Jacob@nextlevelaviation.net?Subject=Query%20for%20ESN%20P-100224%20listed%20in%20myairlease.com",+1 954 613 6303,GTCP85-129H,,,,,,,1601,IMM,P-100224,L/E/S
Engines and APUs,IAE,"Infinity Air Group, http://www.myairlease.com/available/infinity_air_group","Mr. J. Wu, mailto:jimmyw@infinityair.com?Subject=Query%20for%20ESN%20V11495%20listed%20in%20myairlease.com",+1 818 881 8911,V2524-A5,,,,,,,1603,IMM,V11495,L/E/S
Engines and APUs,IAE,"Infinity Air Group, http://www.myairlease.com/available/infinity_air_group","Mr. J. Wu, mailto:jimmyw@infinityair.com?Subject=Query%20for%20ESN%20V11430%20listed%20in%20myairlease.com",+1 818 881 8911,V2524-A5,,,,,,,1603,IMM,V11430,L/E/S
Engines and APUs,IAE,"MTU Maintenance Lease Services, http://www.myairlease.com/available/mtu","Mr. M. Kobayashi, mailto:mitsuaki.kobayashi@mtu-lease-services.com?Subject=Query%20for%20ESN%20V12574%20listed%20in%20myairlease.com",+31 20 705 2593,V2533-A5,,,,,,,1606,IMM,V12574,L
Engines and APUs,Honeywell,"Next Level Aviation, http://www.myairlease.com/available/next_level_aviation","Mr. J. Wright, mailto:Jacob@nextlevelaviation.net?Subject=Query%20for%20ESN%20P-50217C%20listed%20in%20myairlease.com",+1 954 613 6303,GTCP85-129E,,,,,,,1601,IMM,P-50217C,L/E/S
Engines and APUs,Honeywell,"New Linta Aero Engine, http://www.myairlease.com/available/nlae","Mr. H. Nilsson, mailto:info@nlae.se?Subject=Query%20for%20ESN%20P-1176%20listed%20in%20myairlease.com",+46 705 392 248,GTCP85-98DHF,,,,,,,1604,IMM,P-1176,E/S
Engines and APUs,Honeywell,"New Linta Aero Engine, http://www.myairlease.com/available/nlae","Mr. H. Nilsson, mailto:info@nlae.se?Subject=Query%20for%20ESN%20P-1050%20listed%20in%20myairlease.com",+46 705 392 248,GTCP85-98,,,,,,,1604,IMM,P-1050,E/S
Engines and APUs,Honeywell,"Panda Investment, http://www.myairlease.com/available/panda_investment","Mr. R. Zhang, mailto:pandaaviation@163.com?Subject=Query%20for%20ESN%203880%20listed%20in%20myairlease.com",+852 8170 0314,GTCP131-9A,,,,,,,1602,IMM,3880,L/S
Engines and APUs,IAE,"MTU Maintenance Lease Services, http://www.myairlease.com/available/mtu","Mr. M. Kobayashi, mailto:mitsuaki.kobayashi@mtu-lease-services.com?Subject=Query%20for%20ESN%20V11237%20listed%20in%20myairlease.com",+31 20 705 2593,V2527E-A5,,,,,,,1606,IMM,V11237,L
Engines and APUs,IAE,"Rolls-Royce & Partners Finance, http://www.myairlease.com/available/rrpf","Mr. B. Hughes, mailto:Ben.Hughes@Rolls-Royce.com?Subject=Query%20for%20ESN%20V12178%20listed%20in%20myairlease.com",+44 2072 279 127,V2533-A5,,,,,,,1605,IMM,V12178,L/E/S
Engines and APUs,Honeywell,"Piedmont Aviation, http://www.myairlease.com/available/piedmont","Mr. D. Loflin, mailto:donnie.loflin@piedmontaviation.com?Subject=Query%20for%20ESN%20P-1433%20listed%20in%20myairlease.com",+1 336 776 6321,GTCP331-200ER,,,,,,,1603,IMM,P-1433,L/E/S
Engines and APUs,Honeywell,"Piedmont Aviation, http://www.myairlease.com/available/piedmont","Mr. D. Loflin, mailto:donnie.loflin@piedmontaviation.com?Subject=Query%20for%20ESN%20P-170C%20listed%20in%20myairlease.com",+1 336 776 6321,GTCP36-150M,,,,,,,1603,IMM,P-170C,E/S
Engines and APUs,Honeywell,"PSG Turbines, http://www.myairlease.com/available/psg_turbines","Mr. K. Drusch, mailto:kdrusch@psgjets.com?Subject=Query%20for%20ESN%20R765%20listed%20in%20myairlease.com",+1 817 296 2705,GTCP36-300A,,,,,,,1604,IMM,R765,E/S
Engines and APUs,Honeywell,"Regional One, http://www.myairlease.com/available/regional_one","Mr. M. Bolivar, mailto:mbolivar@regionalone.com?Subject=Query%20for%20ESN%20LF05348C%20listed%20in%20myairlease.com",+1 786 623 3936,ALF502,,,,,,,1605,IMM,LF05348C,L/E/S
Engines and APUs,Honeywell,"Regional One, http://www.myairlease.com/available/regional_one","Mr. M. Bolivar, mailto:mbolivar@regionalone.com?Subject=Query%20for%20ESN%20LF05344C%20listed%20in%20myairlease.com",+1 786 623 3936,ALF502,,,,,,,1605,IMM,LF05344C,L/E/S
Engines and APUs,Honeywell,"Regional One, http://www.myairlease.com/available/regional_one","Mr. M. Bolivar, mailto:mbolivar@regionalone.com?Subject=Query%20for%20ESN%20LF05363AC%20listed%20in%20myairlease.com",+1 786 623 3936,ALF502,,,,,,,1605,IMM,LF05363AC,L/E/S
Engines and APUs,Honeywell,"Regional One, http://www.myairlease.com/available/regional_one","Mr. M. Bolivar, mailto:mbolivar@regionalone.com?Subject=Query%20for%20ESN%20LF05683AC%20listed%20in%20myairlease.com",+1 786 623 3936,ALF502,,,,,,,1605,IMM,LF05683AC,L/E/S
Engines and APUs,Honeywell,"Regional One, http://www.myairlease.com/available/regional_one","Mr. M. Bolivar, mailto:mbolivar@regionalone.com?Subject=Query%20for%20ESN%20P-494%20listed%20in%20myairlease.com",+1 786 623 3936,RE220RJ,,,,,,,1605,IMM,P-494,L/E/S
Engines and APUs,Honeywell,"Regional One, http://www.myairlease.com/available/regional_one","Mr. M. Bolivar, mailto:mbolivar@regionalone.com?Subject=Query%20for%20ESN%20P-123C%20listed%20in%20myairlease.com",+1 786 623 3936,RE220RJ,,,,,,,1605,IMM,P-123C,L/E/S
Engines and APUs,Honeywell,"Regional One, http://www.myairlease.com/available/regional_one","Mr. M. Bolivar, mailto:mbolivar@regionalone.com?Subject=Query%20for%20ESN%20P-311%20listed%20in%20myairlease.com",+1 786 623 3936,GTCP36-150RJ,,,,,,,1605,IMM,P-311,L/E/S
Engines and APUs,Honeywell,"Regional One, http://www.myairlease.com/available/regional_one","Mr. M. Bolivar, mailto:mbolivar@regionalone.com?Subject=Query%20for%20ESN%20P-297C%20listed%20in%20myairlease.com",+1 786 623 3936,GTCP36-100M,,,,,,,1605,IMM,P-297C,L/E/S
Engines and APUs,Honeywell,"Regional One, http://www.myairlease.com/available/regional_one","Mr. M. Bolivar, mailto:mbolivar@regionalone.com?Subject=Query%20for%20ESN%20P-269C%20listed%20in%20myairlease.com",+1 786 623 3936,GTCP36-100M,,,,,,,1605,IMM,P-269C,L/E/S
Engines and APUs,Honeywell,"Swanaero, http://www.myairlease.com/available/swanaero","Mr. Ian Ford, mailto:ian.ford@swanaero.co.uk?Subject=Query%20for%20ESN%20R-340C%20listed%20in%20myairlease.com",+44 1489 892740,GTCP331-350C,,,,,,,1605,IMM,R-340C,L/E/S
Engines and APUs,Honeywell,"Swanaero, http://www.myairlease.com/available/swanaero","Mr. Ian Ford, mailto:ian.ford@swanaero.co.uk?Subject=Query%20for%20ESN%20P-152C%20listed%20in%20myairlease.com",+44 1489 892740,GTCP36-150M,,,,,,,1605,IMM,P-152C,E
Engines and APUs,Honeywell,"Swanaero, http://www.myairlease.com/available/swanaero","Mr. Ian Ford, mailto:ian.ford@swanaero.co.uk?Subject=Query%20for%20ESN%20P-138%20listed%20in%20myairlease.com",+44 1489 892740,GTCP36-150F2M,,,,,,,1605,IMM,P-138,L/E/S
Engines and APUs,Honeywell,"Viman Aviation, http://www.myairlease.com/available/viman_aviation","Viman Aviation, mailto:jackp@vimanaviation.com?Subject=Query%20for%20ESN%20R-486C%20listed%20in%20myairlease.com",+1 866 858 3118,GTCP36-300A,,,,,,,1603,IMM,R-486C,L/E/S
Engines and APUs,Rolls Royce,"AeroVision, http://www.myairlease.com/available/aerovision","Mrs. P. Wilton, mailto:PW.aesales@aerovi.com?Subject=Query%20for%20ESN%20312358%20listed%20in%20myairlease.com",+1 231 799 9000,AE 3007A1,,,,,,,1605,IMM,312358,L/S
Engines and APUs,Rolls Royce,"AeroVision, http://www.myairlease.com/available/aerovision","Mrs. P. Wilton, mailto:PW.aesales@aerovi.com?Subject=Query%20for%20ESN%20312074%20listed%20in%20myairlease.com",+1 231 799 9000,AE 3007A1,,,,,,,1605,IMM,312074,L/E/S
Engines and APUs,Rolls Royce,"AeroVision, http://www.myairlease.com/available/aerovision","Mrs. P. Wilton, mailto:PW.aesales@aerovi.com?Subject=Query%20for%20ESN%20311462%20listed%20in%20myairlease.com",+1 231 799 9000,AE 3007A1P,,,,,,,1605,IMM,311462,L/E/S
Engines and APUs,Rolls Royce,"AeroVision, http://www.myairlease.com/available/aerovision","Mrs. P. Wilton, mailto:PW.aesales@aerovi.com?Subject=Query%20for%20ESN%20311428%20listed%20in%20myairlease.com",+1 231 799 9000,AE 3007A1,,,,,,,1605,IMM,311428,L/E/S
Engines and APUs,Rolls Royce,"AeroVision, http://www.myairlease.com/available/aerovision","Mrs. P. Wilton, mailto:PW.aesales@aerovi.com?Subject=Query%20for%20ESN%20311371%20listed%20in%20myairlease.com",+1 231 799 9000,AE 3007A1P,,,,,,,1605,IMM,311371,L/E/S
Engines and APUs,Rolls Royce,"AeroVision, http://www.myairlease.com/available/aerovision","Mrs. P. Wilton, mailto:PW.aesales@aerovi.com?Subject=Query%20for%20ESN%20310065%20listed%20in%20myairlease.com",+1 231 799 9000,AE 3007A1P,,,,,,,1605,IMM,310065,L/E/S
Engines and APUs,Rolls Royce,"AeroVision, http://www.myairlease.com/available/aerovision","Mrs. P. Wilton, mailto:PW.aesales@aerovi.com?Subject=Query%20for%20ESN%20310007%20listed%20in%20myairlease.com",+1 231 799 9000,AE 3007A1P,,,,,,,1605,IMM,310007,L/E/S
Engines and APUs,Rolls Royce,"AeroVision, http://www.myairlease.com/available/aerovision","Mrs. P. Wilton, mailto:PW.aesales@aerovi.com?Subject=Query%20for%20ESN%20310005%20listed%20in%20myairlease.com",+1 231 799 9000,AE 3007A1P,,,,,,,1605,IMM,310005,L/E/S
Engines and APUs,Rolls Royce,"AeroVision, http://www.myairlease.com/available/aerovision","Mrs. P. Wilton, mailto:PW.aesales@aerovi.com?Subject=Query%20for%20ESN%20310004%20listed%20in%20myairlease.com",+1 231 799 9000,AE 3007A1P,,,,,,,1605,IMM,310004,L/E/S
Engines and APUs,Rolls Royce,"AerSale, http://www.myairlease.com/available/aerosale","AerSale, mailto:matthew.white@aersale.com?Subject=Query%20for%20ESN%2051293%20listed%20in%20myairlease.com",+1 353 1475 3005,Trent 800,,,,,,,1604,IMM,51293,L/E/S
Engines and APUs,Rolls Royce,"AerSale, http://www.myairlease.com/available/aerosale","AerSale, mailto:matthew.white@aersale.com?Subject=Query%20for%20ESN%2030604%20listed%20in%20myairlease.com",+1 353 1475 3005,RB211-535E4,,,,,,,1604,IMM,30604,L/E/S
Engines and APUs,Rolls Royce,"AerSale, http://www.myairlease.com/available/aerosale","AerSale, mailto:matthew.white@aersale.com?Subject=Query%20for%20ESN%2013409%20listed%20in%20myairlease.com",+1 353 1475 3005,RB211-524,,,,,,,1604,IMM,13409,L/S
Engines and APUs,Rolls Royce,"Fortress Investment Group, http://www.myairlease.com/available/fortess_investment_group","Mr. T. McFarland, mailto:tmcfarland@fortress.com?Subject=Query%20for%20ESN%2031109%20listed%20in%20myairlease.com",+1 305 520 2349,RB211-535E4,,,,,,,1604,IMM,31109,L/S
Engines and APUs,Rolls Royce,"GA Telesis, http://www.myairlease.com/available/ga_telesis","Mr. E. Weijer, mailto:eweijer@gatelesis.com?Subject=Query%20for%20ESN%2051172%20listed%20in%20myairlease.com",+1 954 676 3111,Trent 800,,,,,,,1605,IMM,51110,L/S
Engines and APUs,Rolls Royce,"GA Telesis, http://www.myairlease.com/available/ga_telesis","Mrs. S. Jung, mailto:sjung@gatelesis.com?Subject=Query%20for%20ESN%20310077%20listed%20in%20myairlease.com",+1 954 676 3111,AE 3007,,,,,,,1605,IMM,310077,S
Engines and APUs,Rolls Royce,"Gamit, http://www.myairlease.com/available/gamit","Mr. M. Thickbroom, mailto:M.thickbroom@gamit.co.uk?Subject=Query%20for%20ESN%208940%20listed%20in%20myairlease.com",+44 1279 818 800,Spey MK511-8,,,,,,,1601,IMM,8940,S
Engines and APUs,Rolls Royce,"INAV Group, http://www.myairlease.com/available/inav_group","Mr. J. O'Donnell, mailto:JoeOD@INAVGROUP.com?Subject=Query%20for%20ESN%2031085%20listed%20in%20myairlease.com",+1 847 8473 635,RB211-535E4,,,,,,,1605,IMM,31085,S
Engines and APUs,Rolls Royce,"Jet Midwest, http://www.myairlease.com/available/jet_midwest","Mr. K. Lee, mailto:kevin.lee@jetmidwest.com?Subject=Query%20for%20ESN%2031431%20listed%20in%20myairlease.com",+1 310 652 0296,RB211-534E4B,,,,,,,1603,IMM,31431,L/S
Engines and APUs,Rolls Royce,"Jet Midwest, http://www.myairlease.com/available/jet_midwest","Mr. K. Lee, mailto:kevin.lee@jetmidwest.com?Subject=Query%20for%20ESN%2031332%20listed%20in%20myairlease.com",+1 310 652 0296,RB211-534E4B,,,,,,,1603,IMM,31332,L/S
Engines and APUs,Rolls Royce,"mba aircraft solutions, http://www.myairlease.com/available/mba_aircraft_solutions","Mr. J. Agnew, mailto:jagnew@mbaas.aero?Subject=Query%20for%20ESN%2031179%20listed%20in%20myairlease.com",+1 703 276 3202,RB211-535E4B,,,,,,,1603,IMM,31179,L/E/S
Engines and APUs,Rolls Royce,"mba aircraft solutions, http://www.myairlease.com/available/mba_aircraft_solutions","Mr. J. Agnew, mailto:jagnew@mbaas.aero?Subject=Query%20for%20ESN%2031136%20listed%20in%20myairlease.com",+1 703 276 3202,RB211-535E4B,,,,,,,1603,IMM,31136,L/E/S
Engines and APUs,Rolls Royce,"mba aircraft solutions, http://www.myairlease.com/available/mba_aircraft_solutions","Mr. J. Agnew, mailto:jagnew@mbaas.aero?Subject=Query%20for%20ESN%2031045%20listed%20in%20myairlease.com",+1 703 276 3202,RB211-535E4B,,,,,,,1603,IMM,31045,L/E/S
Engines and APUs,Rolls Royce,"mba aircraft solutions, http://www.myairlease.com/available/mba_aircraft_solutions","Mr. J. Agnew, mailto:jagnew@mbaas.aero?Subject=Query%20for%20ESN%2031040%20listed%20in%20myairlease.com",+1 703 276 3202,RB211-535E4B,,,,,,,1603,IMM,31040,L/E/S
Engines and APUs,Rolls Royce,"MNG Airlines, http://www.myairlease.com/available/mng_airlines","Mr. C. Erturk, mailto:cenk.erturk@mngairlines.com?Subject=Query%20for%20ESN%2042104%20listed%20in%20myairlease.com",+90 212 4658950/1714,Trent 772B60/16,,,,,,,1604,IMM,42104,L/S
Engines and APUs,Rolls Royce,"Rolls-Royce & Partners Finance, http://www.myairlease.com/available/rrpf","Mr. B. Hughes, mailto:Ben.Hughes@Rolls-Royce.com?Subject=Query%20for%20ESN%2051123%20listed%20in%20myairlease.com",+44 2072 279 127,Trent 892B,,,,,,,1605,IMM,51123,L/E/S
Engines and APUs,Rolls Royce,"Rolls-Royce & Partners Finance, http://www.myairlease.com/available/rrpf","Mr. B. Hughes, mailto:Ben.Hughes@Rolls-Royce.com?Subject=Query%20for%20ESN%2051062%20listed%20in%20myairlease.com",+44 2072 279 127,Trent 892B,,,,,,,1605,IMM,51062,L/E/S
Engines and APUs,Rolls Royce,"Rolls-Royce & Partners Finance, http://www.myairlease.com/available/rrpf","Mr. B. Hughes, mailto:Ben.Hughes@Rolls-Royce.com?Subject=Query%20for%20ESN%2051054%20listed%20in%20myairlease.com",+44 2072 279 127,Trent 892B,,,,,,,1605,IMM,51054,L/E/S
Engines and APUs,Rolls Royce,"Rolls-Royce & Partners Finance, http://www.myairlease.com/available/rrpf","Mr. B. Hughes, mailto:Ben.Hughes@Rolls-Royce.com?Subject=Query%20for%20ESN%2041092%20listed%20in%20myairlease.com",+44 2072 279 127,Trent 772B,,,,,,,1605,IMM,41092,L/E/S
Engines and APUs,Rolls Royce,"Rolls-Royce & Partners Finance, http://www.myairlease.com/available/rrpf","Mr. B. Hughes, mailto:Ben.Hughes@Rolls-Royce.com?Subject=Query%20for%20ESN%2071081%20listed%20in%20myairlease.com",+44 2072 279 127,Trent 556,,,,,,,1605,IMM,71081,L/E/S
Engines and APUs,Rolls Royce,"Rolls-Royce & Partners Finance, http://www.myairlease.com/available/rrpf","Mr. B. Hughes, mailto:Ben.Hughes@Rolls-Royce.com?Subject=Query%20for%20ESN%20312131%20listed%20in%20myairlease.com",+44 2072 279 127,AE 3007A,,,,,,,1605,IMM,312131,L/E/S
Engines and APUs,Rolls Royce,"Rolls-Royce & Partners Finance, http://www.myairlease.com/available/rrpf","Mr. B. Hughes, mailto:Ben.Hughes@Rolls-Royce.com?Subject=Query%20for%20ESN%20312130%20listed%20in%20myairlease.com",+44 2072 279 127,AE 3007A,,,,,,,1605,IMM,312130,L/E/S
Engines and APUs,Rolls Royce,"Scandinavian Aviation Capital, http://www.myairlease.com/available/sac","Mr. H. Tyssoy, mailto:ht@sac.net.my?Subject=Query%20for%20ESN%2017462%20listed%20in%20myairlease.com",+60 1 76 51 8285,TAY 650-15,,,,,,,1605,IMM,17462,S
Engines and APUs,Rolls Royce,"Scandinavian Aviation Capital, http://www.myairlease.com/available/sac","Mr. H. Tyssoy, mailto:ht@sac.net.my?Subject=Query%20for%20ESN%2017388%20listed%20in%20myairlease.com",+60 1 76 51 8285,TAY 650-15,,,,,,,1605,IMM,17388,S
Engines and APUs,Rolls Royce,"Sunstar  Aviation, http://www.myairlease.com/available/sunstar-aviation","Mr. A. Diaz, mailto:adolfo@sun-star.org?Subject=Query%20for%20ESN%2071338%20listed%20in%20myairlease.com",+1 954 727 3381,Trent 556-61,,,,,,,1605,IMM,71338,S
Engines and APUs,Rolls Royce,"TES Aviation Group, http://www.myairlease.com/available/tes_aviation_group","Ms. B. Carpenter, mailto:bechan.carpenter@tes-uk.com?Subject=Query%20for%20ESN%2030620%20listed%20in%20myairlease.com",+44 1656 765218,RB211-535E4,,,,,,,1605,IMM,30620,L/E/S
Engines and APUs,Rolls Royce,"Tronos Aviation Consulting, http://www.myairlease.com/available/tronos","Mr. G. Weissel, mailto:gweissel@tronosjet.com?Subject=Query%20for%20ESN%2071368%20listed%20in%20myairlease.com",+1 678 439 9545,Trent 556A2-61,,,,,,,1604,IMM,71368,L/S
Engines and APUs,Pratt & Whitney,"3TOP Aviation Services, http://www.myairlease.com/available/3top","Mr. P. Dsilva, mailto:Paul@3topaviation.com?Subject=Query%20for%20ESN%20724034%20listed%20in%20myairlease.com",+44 1372 587 872,PW4158/56A/52,,,,,,,1605,IMM,724034,S
Engines and APUs,Pratt & Whitney,"Aerospace Turbine Management, http://www.myairlease.com/available/aerospace_turbine_management","Mr. A. Camino, mailto:alexis@aeroturbinemanagement.com?Subject=Query%20for%20ESN%20702734%20listed%20in%20myairlease.com",+1 786 618 4422,JT8D-17,,,,,,,1602,IMM,702734,L/S
Engines and APUs,Pratt & Whitney,"AerSale, http://www.myairlease.com/available/aersale","Mr. M. White, mailto:matthew.white@aersale.com?Subject=Query%20for%20ESN%20724833%20listed%20in%20myairlease.com",+1 353 1475 3005,PW4158,,,,,,,1604,IMM,724833,L/S
Engines and APUs,Pratt & Whitney,"AerSale, http://www.myairlease.com/available/aersale","Mr. A. Kehoe, mailto:Alan.Kehoe@aersale.com?Subject=Query%20for%20ESN%20727404%20listed%20in%20myairlease.com",+353 879 393 534,PW4056-3,,,,,,,1604,IMM,727404,L/S
Engines and APUs,Pratt & Whitney,"AerSale, http://www.myairlease.com/available/aersale","Mr. M. White, mailto:matthew.white@aersale.com?Subject=Query%20for%20ESN%20724161%20listed%20in%20myairlease.com",+1 353 1475 3005,PW4060-3,,,,,,,1604,1607,724161,L/S
Engines and APUs,Pratt & Whitney,"AerSale, http://www.myairlease.com/available/aersale","Mr. M. White, mailto:matthew.white@aersale.com?Subject=Query%20for%20ESN%20727603%20listed%20in%20myairlease.com",+1 353 1475 3005,PW4062-3,,,,,,,1604,IMM,727603,L/S
Engines and APUs,Pratt & Whitney,"AirLease International, http://www.myairlease.com/available/airlease_international","Mr. H. Woody, mailto:woody@airleaseintl.com?Subject=Query%20for%20ESN%20709726%20listed%20in%20myairlease.com",+1 501 318 1465,JT8D-219,,,,,,,1604,IMM,709726,L/E/S
Engines and APUs,Pratt & Whitney,"AirLease International, http://www.myairlease.com/available/airlease_international","Mr. H. Woody, mailto:woody@airleaseintl.com?Subject=Query%20for%20ESN%20696777%20listed%20in%20myairlease.com",+1 501 318 1465,JT8D-17,,,,,,,1604,IMM,696777,L/E/S
Engines and APUs,Pratt & Whitney,"AJW Aviation, http://www.myairlease.com/available/ajw_aviation","Mr. A. Roberts, mailto:Engines.enquiries@ajw-aviation.com?Subject=Query%20for%20ESN%20726674%20listed%20in%20myairlease.com",+44 1685 7085 72,PW2037M,,,,,,,1605,IMM,726674,L/S
Engines and APUs,Pratt & Whitney,"AJW Aviation, http://www.myairlease.com/available/ajw_aviation","Mr. A. Roberts, mailto:Engines.enquiries@ajw-aviation.com?Subject=Query%20for%20ESN%20726521%20listed%20in%20myairlease.com",+44 1685 7085 72,PW2037M,,,,,,,1605,IMM,726521,L/S
Engines and APUs,Pratt & Whitney,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20ESN%20678666%20listed%20in%20myairlease.com",+1 786 380 6871,JT8D-17R,,,,,,,1603,IMM,678666,S
Engines and APUs,Pratt & Whitney,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20ESN%20717381%20listed%20in%20myairlease.com",+1 786 380 6871,JT8D-217A,,,,,,,1603,IMM,717381,S
Engines and APUs,Pratt & Whitney,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20ESN%20717361%20listed%20in%20myairlease.com",+1 786 380 6871,JT8D-217A,,,,,,,1603,IMM,717361,S
Engines and APUs,Pratt & Whitney,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20ESN%20725592%20listed%20in%20myairlease.com",+1 786 380 6871,JT8D-217C,,,,,,,1603,IMM,725592,S
Engines and APUs,Pratt & Whitney,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20ESN%20728113%20listed%20in%20myairlease.com",+1 786 380 6871,JT8D-219,,,,,,,1603,IMM,728113,S
Engines and APUs,Pratt & Whitney,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20ESN%20725888%20listed%20in%20myairlease.com",+1 786 380 6871,JT8D-219,,,,,,,1603,IMM,725888,S
Engines and APUs,Pratt & Whitney,"EFTEC, http://www.myairlease.com/available/eftec","Mr. M. Shvetsov, mailto:m.shvetsov@eftecltd.com?Subject=Query%20for%20ESN%20708168%20listed%20in%20myairlease.com",+44 20 3286 7811,JT8D-219,,,,,,,1605,IMM,708168,S
Engines and APUs,Pratt & Whitney,"EFTEC, http://www.myairlease.com/available/eftec","Mr. M. Shvetsov, mailto:m.shvetsov@eftecltd.com?Subject=Query%20for%20ESN%20708150%20listed%20in%20myairlease.com",+44 20 3286 7811,JT8D-219,,,,,,,1605,IMM,708150,S
Engines and APUs,Pratt & Whitney Canada,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20ESN%20124341%20listed%20in%20myairlease.com",+1 786 380 6871,PW121,,,,,,,1603,IMM,124341,S
Engines and APUs,Pratt & Whitney Canada,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20ESN%20120527%20listed%20in%20myairlease.com",+1 786 380 6871,PW121,,,,,,,1603,IMM,120527,S
Engines and APUs,Pratt & Whitney,"ELFC, http://www.myairlease.com/available/elfc","Mr. D. Madigan, mailto:declan.madigan@elfc.com?Subject=Query%20for%20ESN%20733599%20listed%20in%20myairlease.com",+353 61 291 717,PW4168A,,,,,,,1605,IMM,733599,L
Engines and APUs,Pratt & Whitney,"ELFC, http://www.myairlease.com/available/elfc","Mr. D. Madigan, mailto:declan.madigan@elfc.com?Subject=Query%20for%20ESN%20727762%20listed%20in%20myairlease.com",+353 61 291 717,PW4056,,,,,,,1605,IMM,727762,L
Engines and APUs,Pratt & Whitney,"FJ Turbine Power, http://www.myairlease.com/available/fj_turbine_power","Mr. D.G de Cordova, mailto:diegogdc@fjturbinepower.net?Subject=Query%20for%20ESN%20728255%20listed%20in%20myairlease.com",+1 305 519 4196,JT8D-219,,,,,,,1603,IMM,728255,L/S
Engines and APUs,Pratt & Whitney Canada,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20ESN%20120474%20listed%20in%20myairlease.com",+1 786 380 6871,PW121,,,,,,,1603,IMM,120474,S
Engines and APUs,Pratt & Whitney Canada,"EirTrade, http://www.myairlease.com/available/eirtrade","Mr. K. Fitzgibbon, mailto:sales@eirtradeaviation.com?Subject=Query%20for%20ESN%20EB0212%20listed%20in%20myairlease.com",+353 1 4016 080,PW127F,,,,,,,1603,IMM,EB0212,S
Engines and APUs,Pratt & Whitney Canada,"ITS Infinity Trading, http://www.myairlease.com/available/its_infinity_trading","Mr. R. James, mailto:Robert.James@itsparts.com?Subject=Query%20for%20ESN%20PCE900143%20listed%20in%20myairlease.com",+1 480 779 2426,PW901,,,,,,,1602,IMM,PCE900143,L/E/S
Engines and APUs,Pratt & Whitney Canada,"Jet Midwest, http://www.myairlease.com/available/jet_midwest","Mr. K. Lee, mailto:kevin.lee@jetmidwest.com?Subject=Query%20for%20ESN%20126010%20listed%20in%20myairlease.com",+1 310 652 0296,PW127B,,,,,,,1603,IMM,126010,L/S
Engines and APUs,Pratt & Whitney,"Fortress Investment Group, http://www.myairlease.com/available/fortess_investment_group","Mr. T. McFarland, mailto:tmcfarland@fortress.com?Subject=Query%20for%20ESN%20726521%20listed%20in%20myairlease.com",+1 305 520 2349,PW2037M,,,,,,,1604,IMM,726521,L/S
Engines and APUs,Pratt & Whitney,"GA Telesis, http://www.myairlease.com/available/ga_telesis","Mr. E. Weijer, mailto:eweijer@gatelesis.com?Subject=Query%20for%20ESN%20724494%20listed%20in%20myairlease.com",+1 954 676 3111,PW4056-1C,,,,,,,1605,IMM,724494,L/S
